ID,Age,Overall,Potential,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Height,Weight,Release Clause
158023,31,94,94,110500,565,1,5,4,1,2004,5.58,159,226500
20801,33,94,94,77000,405,2,5,5,2,2018,6.17,183,127100
190871,26,92,93,118500,290,2,5,5,3,2017,5.75,150,228100
193080,27,91,93,72000,260,2,4,1,4,2011,6.33,168,138600
192985,27,91,92,102000,355,2,4,4,5,2015,5.92,154,196400
183277,27,91,91,93000,340,2,4,4,6,2012,5.67,163,172100
177003,32,91,91,67000,420,2,4,4,5,2012,5.67,146,137400
176580,31,91,91,80000,455,2,5,3,7,2014,6,190,164000
155862,32,91,91,51000,380,2,4,3,8,2005,6,181,104600
200389,25,90,93,68000,94,2,3,1,4,2014,6.17,192,144500
188545,29,90,90,77000,205,2,4,4,2,2014,6,176,127100
182521,28,90,90,76500,355,2,4,3,9,2014,6,168,156800
182493,32,90,90,44000,125,2,3,2,10,2010,6.17,172,90200
168542,32,90,90,60000,285,1,4,4,9,2010,5.67,148,111000
215914,27,89,90,63000,225,2,3,2,11,2016,5.5,159,121300
211110,24,89,94,89000,205,1,3,4,6,2015,5.83,165,153500
202126,24,89,91,83500,205,2,3,3,2,2010,6.17,196,160700
194765,27,89,90,78000,145,1,4,4,12,2014,5.75,161,165800
192448,26,89,92,58000,240,2,3,1,4,2014,6.17,187,123300
192119,26,89,90,53500,240,1,4,1,4,2018,6.5,212,113700
189511,29,89,89,51500,315,2,4,3,13,2008,6.17,168,105600
179813,31,89,89,60000,200,2,4,3,14,2013,6.08,170,111000
167495,32,89,89,38000,130,2,5,1,4,2011,6.33,203,62700
153079,30,89,89,64500,300,2,4,4,2,2011,5.67,154,119300
138956,33,89,89,27000,215,1,4,2,15,2005,6.17,187,44600
231747,19,88,95,81000,100,2,3,5,16,2018,5.83,161,166100
209331,26,88,89,69500,255,1,3,4,16,2017,5.75,157,137300
200145,26,88,90,59500,285,2,3,2,13,2013,6.08,185,126400
198710,26,88,89,69500,315,1,4,4,17,2016,5.92,172,4585.060806
198219,27,88,88,62000,165,2,3,4,3,2010,5.33,130,105400
197781,26,88,91,73500,315,2,3,4,3,2013,5.75,174,156200
190460,26,88,91,73500,205,2,3,4,12,2013,5.92,168,141500
189242,26,88,89,69500,340,2,3,5,3,2018,5.67,150,147700
188567,29,88,88,59000,265,2,3,4,18,2018,6.17,176,112100
178603,29,88,88,46000,160,2,4,3,15,2016,6.25,203,75900
176676,30,88,88,43000,285,1,4,5,19,2007,5.75,176,88200
173731,28,88,88,60000,355,1,4,4,2,2013,6.08,181,123000
167948,31,88,88,36000,150,1,4,1,4,2012,6.17,181,66600
167664,30,88,88,57000,245,2,4,3,14,2016,6.08,196,4585.060806
164240,33,88,88,24000,165,2,4,2,8,2012,6,181,44400
162835,33,88,88,30000,110,2,3,1,4,2012,6.33,203,51000
1179,40,88,88,4000,77,2,4,1,4,2018,6.33,203,7400
205600,24,87,92,57000,205,1,3,2,10,2016,6,165,121100
201399,25,87,90,64500,130,2,3,3,2,2013,5.92,165,114500
201024,27,87,90,51000,115,2,3,2,15,2014,6.17,196,90500
195864,25,87,91,64000,210,2,4,5,20,2016,6.33,185,123200
193041,31,87,87,30500,195,2,3,1,4,2014,6.08,176,62500
192505,25,87,89,62500,230,1,3,3,2,2017,6.25,207,120300
192387,28,87,87,52000,115,2,3,3,2,2016,6.08,187,88400
189332,29,87,87,38000,250,1,3,3,19,2012,5.58,150,77900
175943,31,87,87,45000,135,2,3,4,1,2013,5.58,134,76500
172871,31,87,87,34000,155,1,3,3,15,2012,6.17,190,62900
171877,30,87,87,46500,125,2,3,3,9,2007,6,174,79100
168651,30,87,87,46500,260,2,4,3,5,2014,6,172,95300
152729,31,87,87,34000,240,2,4,2,8,2008,6.33,187,69700
222492,22,86,92,61000,195,1,2,4,3,2016,6,165,125100
218667,23,86,91,59500,180,1,2,4,21,2017,5.67,141,114500
210257,24,86,90,41500,125,1,2,1,4,2017,6.17,190,79900
208722,26,86,87,52000,195,2,3,4,18,2016,5.75,152,102700
203376,26,86,88,44500,165,2,3,2,15,2018,6.33,203,87900
202652,23,86,89,56500,195,2,3,4,21,2015,5.58,152,108800
201942,26,86,87,53000,195,2,3,4,12,2015,5.92,168,104700
201535,25,86,91,50000,210,2,3,2,8,2011,6.25,179,106300
199556,25,86,89,55000,135,2,3,4,9,2012,5.42,132,105900
191043,27,86,86,36500,160,1,3,3,19,2015,5.92,176,60200
190483,27,86,86,46500,175,1,3,5,18,2018,5.67,154,76700
189596,28,86,86,45000,135,2,4,3,12,2008,6.08,165,74300
189509,27,86,86,45500,130,2,3,5,22,2013,5.75,154,75100
188350,29,86,86,43500,100,2,4,4,18,2012,5.92,157,74000
184432,28,86,86,35000,175,2,3,2,23,2012,5.83,168,64800
184344,31,86,86,30000,160,2,3,2,8,2018,6.25,187,49500
184087,29,86,87,39000,150,2,3,2,8,2015,6.08,179,75100
180206,28,86,86,44000,180,2,3,3,13,2016,5.83,159,72600
177509,31,86,86,30000,160,2,3,2,10,2014,6.17,207,49500
176635,29,86,86,43500,190,1,4,4,12,2013,5.92,168,82700
135507,33,86,86,18000,185,2,3,3,13,2013,5.83,148,33300
41,34,86,86,21500,21,2,4,4,6,2018,5.58,150,26900
